Author,Archives
Juan Pablo And Belmonte,marine sediment(1)
Ánchel And Sancho,marine sediment(1)
Isabel And Herrera,marine sediment(1)
Gemma And Canals,marine sediment(1)
Miquel And Grimalt,marine sediment(1)
Joan O. And Jiménez-Espejo,marine sediment(1)
Francisca And Vegas-Vilarrúbia,marine sediment(1)
Teresa And Valero-Garcés,marine sediment(1)
Blas L.,marine sediment(1)
Felis,coral(2)
Haase-Schramm,physical sample(2)
Boiseau,coral(1)
Juillet-Leclerc,coral(1)
Guilderson,coral(1)
C. Alibert,coral(1)
R.E. Came,marine sediment(1)
J.F. Mcmanus,marine sediment(1)
Osborne,coral(2)
Kim M. Cobb,coral(2)
R. Lawrence Edwards,coral(2)
I.S. Nurhati,coral(1)
Richey J.N,marine sediment(1)
R.Z Poore,marine sediment(1)
B.P Flower,marine sediment(1)
T.M Quinn,marine sediment(1)
D.J. Hollander,marine sediment(1)
Vasquez-Bedoya,coral(1)
Pfeiffer,coral(1)
Bagnato,coral(1)
Moustafa,coral(1)
Caren T Herbert,marine sediment(1)
Philippe Martinez,marine sediment(1)
F Abrantes,marine sediment(1)
S Lebreiro,marine sediment(1)
T Rodrigues,marine sediment(1)
I M Gil,marine sediment(1)
H B Bartels-Jonsdottir,marine sediment(1)
P Oliveira,marine sediment(1)
C Kissel,marine sediment(1)
Brad E. Rosenheim,"sclerosponge(1),coral(1)"
Dunbar,coral(1)
M.K. Gorman,coral(1)
Quinn,coral(1)
A. E. Shevenell,marine sediment(2)
A. E. Ingalls,marine sediment(2)
E. W. Domack,marine sediment(2)
C. Kelly,marine sediment(2)
John A. Barron,marine sediment(1)
Linda Heusser,marine sediment(1)
Mitch Lyle,marine sediment(1)
W. Curry,marine sediment(1)
Patricia Jiménez-Amat,marine sediment(1)
Francesco S. R. Pausata,marine sediment(1)
D. Gebregiorgis,marine sediment(1)
E.C. Hathorne,marine sediment(1)
A.V. Sijinkumar,marine sediment(1)
B. Nagender Nath,marine sediment(1)
M. Frank,marine sediment(1)
Christina L. Belanger,marine sediment(1)
Howard J. Spero,marine sediment(1)
Y. Shibata,marine sediment(1)
N. Harada,marine sediment(1)
N. Ahagon,marine sediment(1)
M. Uchida,marine sediment(1)
W.L. Prell,marine sediment(1)
R.G. Fairbanks,marine sediment(1)
