authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Kevin C. Nixon,Midden,NA,decimal degrees,NA,NA,NA,NA
L.J. Graumlich,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Sano,Wood,D18O,permil,Precipitation And Evaporation,Na,Na Precipitation And Evaporation,NA
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Philippe Martinez,MarineSediment,Uk37,NA,NA,NA,NA,NA
T. M. Quinn,MarineSediment,NA,BP,NA,NA,NA,NA
NA,MarineSediment,NA,permil PDB,NA,NA,NA,NA
T. Harlan.,Wood,Sample Count,count,NA,NA,NA,NA
Hans R  Y,Peat,NA,NA,NA,NA,Temperature,degC
Christoph C. Raible,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
Spruce W. Schoenemann,Ice-other,D18O,permil,NA,NA,uncertainty temperature1,degC
Richard B. Alley,GlacierIce,NA,bubbles/cm3,NA,NA,tempError,degC
Eric J. Steig,GroundIce,D18O,permil,NA,Air Surface,temperature1,degC
Matthew W. Salzer,Wood,Sample Count,count,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
John M. Fegyveresi,GlacierIce,NA,m,NA,NA,tempError,degC
Fritz H. Schweingruber,Wood,Core,NA,NA,NA,NA,NA
Gordon Jacoby,Wood,NA,NA,NA,NA,NA,NA
J. Jouzel,GlacierIce,NA,m,NA,NA,tempSource,degC
J. P. Steffenssen,GlacierIce,Dd,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,37:2Alkenoneconcentration,ng/g,NA,NA,surface.temp,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Aur̩Lie Penaud,Peat,NA,NA,NA,NA,Temperature,degC
Eric J. Steig,GroundIce,Dd,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Fritz H. Schweingruber,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Richard D. Van Dorp,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Ricardo Villalba,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
NA,MarineSediment,37:2Alkenoneconcentration,ng/g,NA,NA,surface.temp,degC
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
R Funada,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Rosanne D. D’Arrigo,Wood,NA,NA,NA,NA,NA,NA
Haowen Dang,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Vinther,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
Rosanne D’Arrigo,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Eric J. Steig,Ice-other,Dd,permil,NA,NA,uncertainty temperature1,degC
David C. Frank,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Edward R. Cook,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Thompson,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
Zhiguo Rao,Peat,NA,permil,NA,NA,NA,NA
Brian H Luckman,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Brian H Luckman,Wood,NA,NA,NA,NA,NA,NA
J. Eiríksson,Peat,NA,NA,NA,NA,Temperature,degC
F.S. Hu,LakeSediment,D18O,permil,Precipitation And Evaporation,Na,Na Precipitation And Evaporation,NA
Dierk Hebbeln,MarineSediment,D18O,permil,NA,NA,Temperature,degC
D. B. Fagre,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
A. Wichienkeeo,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Timoth̩ Bolliet,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
L. G. Thompson,GlacierIce,Sulfate,ppb,NA,NA,NA,NA
J. P. Montávez,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
R. J. S. Wilson,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
