coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Peter W. Swarzenski,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Andrew S. Cohen,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,James M. Russell,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Jessica E. Tierney,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Marc T. Mayes,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Natacha Meyer,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Christopher Johnson,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Peter W. Swarzenski,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Andrew S. Cohen,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,James M. Russell,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Jessica E. Tierney,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Marc T. Mayes,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Natacha Meyer,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Christopher Johnson,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Peter W. Swarzenski,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Andrew S. Cohen,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,James M. Russell,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
