filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
Arc-LenaRiver.McDonald.1998.lpd,tree,NA,NA,TRW,NA,NA
Arc-LenaRiver.McDonald.1998.lpd,tree,Year,NA,NA,NA,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,NA,NA,D18O1,NA,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,NA,NA,Massacum,NA,NA
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,NA,NA,SedAccumulation,NA,NA
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,NA,NA,Trsgi,NA,NA
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,NA,NA,TRW,NA,NA
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,Year,NA,NA,NA,NA
Arc-MD992275.Jiang.2005.lpd,marine sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-MD992275.Jiang.2005.lpd,marine sediment,Year,NA,NA,NA,NA
Arc-NGTB16.Schwager.1998.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-NGTB16.Schwager.1998.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,NA,NA,Melt,NA,NA
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,NA,NA,Density,NA,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,NA,NA,TRW,NA,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,Year,NA,NA,NA,NA
Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-SoperLake.Hughen.2000.lpd,lake sediment,NA,NA,Thickness,NA,NA
Arc-SoperLake.Hughen.2000.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-SoperLake.Hughen.2000.lpd,lake sediment,Temperature,NA,NA,NA,NA
Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,Year,NA,NA,NA,NA
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,NA,NA,Density,NA,NA
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,NA,NA,DeltaDensity,NA,NA
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,Year,NA,NA,NA,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,Temperature,NA,NA,NA,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,Year,NA,NA,NA,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,Temperature1,NA,NA,NA,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,NA,NA,SampleDensity,NA,NA
Arc-VøringPlateau.Berner.2011.lpd,marine sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-VøringPlateau.Berner.2011.lpd,marine sediment,Year,NA,NA,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,NA,NA,Melt,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Yamalia.Briffa.2013.lpd,glacier ice,Temperature,NA,GhostMeasured,NA,NA
Arc-Yamalia.Briffa.2013.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Yukon.D'Arrigo.2006.lpd,tree,NA,NA,Trsgi,NA,NA
Arc-Yukon.D'Arrigo.2006.lpd,tree,NA,NA,TRW,NA,NA
Arc-Yukon.D'Arrigo.2006.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiJablonsky.Cook.2000.lpd,tree,NA,NA,Trsgi,NA,NA
