filename,archiveType,proxyObservationType,units
Asi-BHUTSP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,TRW,NA
Asi-BT001.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT001.Cook.2010.lpd,tree,TRW,NA
Asi-BT002.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT002.Cook.2010.lpd,tree,TRW,NA
Asi-BT003.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT003.Cook.2010.lpd,tree,TRW,NA
Asi-BT004.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT004.Cook.2010.lpd,tree,TRW,NA
Asi-BT005.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT005.Cook.2010.lpd,tree,TRW,NA
Asi-BT006.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT006.Cook.2010.lpd,tree,TRW,NA
Asi-BT008.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT008.Cook.2010.lpd,tree,TRW,NA
Asi-BT009.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT009.Cook.2010.lpd,tree,TRW,NA
Asi-BT010.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT010.Cook.2010.lpd,tree,TRW,NA
Asi-BT011.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT011.Cook.2010.lpd,tree,TRW,NA
Asi-BT018.Cook.2010.lpd,tree,Trsgi,NA
Asi-BT018.Cook.2010.lpd,tree,TRW,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,TRW,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,TRW,NA
Asi-CentralChina.Wang.1998.lpd,documents,GhostMeasured,NotApplicable
Asi-CHIN004.Wu.2013.lpd,tree,Trsgi,NA
Asi-CHIN004.Wu.2013.lpd,tree,TRW,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,Trsgi,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,TRW,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,Trsgi,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,TRW,NA
Asi-CHIN016.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN016.Li.2010.lpd,tree,TRW,NA
Asi-CHIN017.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN017.Li.2010.lpd,tree,TRW,NA
Asi-CHIN018.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN018.Li.2010.lpd,tree,TRW,NA
Asi-CHIN019.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN019.Li.2010.lpd,tree,TRW,NA
Asi-CHIN020.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN020.Li.2010.lpd,tree,TRW,NA
Asi-CHIN021.Li.2010.lpd,tree,Trsgi,NA
Asi-CHIN021.Li.2010.lpd,tree,TRW,NA
Asi-CHIN026.Wright.2010.lpd,tree,Trsgi,NA
Asi-CHIN026.Wright.2010.lpd,tree,TRW,NA
Asi-CHIN029.Krusic.2010.lpd,tree,Trsgi,NA
Asi-CHIN029.Krusic.2010.lpd,tree,TRW,NA
Asi-CHIN037.Fan.2013.lpd,tree,Trsgi,NA
Asi-CHIN037.Fan.2013.lpd,tree,TRW,NA
Asi-CHIN038.Fan.2013.lpd,tree,Trsgi,NA
Asi-CHIN038.Fan.2013.lpd,tree,TRW,NA
Asi-CHIN039.Fan.2013.lpd,tree,Trsgi,NA
Asi-CHIN039.Fan.2013.lpd,tree,TRW,NA
Asi-CHIN040.Fan.2013.lpd,tree,Trsgi,NA
Asi-CHIN040.Fan.2013.lpd,tree,TRW,NA
Asi-CHIN041.Fan.2013.lpd,tree,Trsgi,NA
Asi-CHIN041.Fan.2013.lpd,tree,TRW,NA
Asi-CHIN042.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN042.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN043.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN043.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN044.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN044.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN045.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN045.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN046.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN046.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN047.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN047.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN048.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN048.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN049.Brauning.2013.lpd,tree,Trsgi,NA
Asi-CHIN049.Brauning.2013.lpd,tree,TRW,NA
Asi-CHIN050.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN050.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN051.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN051.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN052.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN052.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN053.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN053.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN054.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN054.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN055.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN055.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN056.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN056.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN057.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN057.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN058.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN058.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN059.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN059.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN060.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN060.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN061.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN061.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN062.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN062.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN063.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN063.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN064.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN064.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN065.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN065.Shao.2013.lpd,tree,TRW,NA
Asi-CHIN066.Shao.2013.lpd,tree,Trsgi,NA
Asi-CHIN066.Shao.2013.lpd,tree,TRW,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,D18O,permil
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Dust,permil
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Chloride,ppb
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Nitrate,ppb
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Sulfate,ppb
Asi-DEZQIN.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-DEZQIN.PAGES2k.2013.lpd,tree,TRW,NA
Asi-DQHZHO.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-DQHZHO.PAGES2k.2013.lpd,tree,TRW,NA
Asi-DUSHJP.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-DUSHJP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-EastChina.Wang.1990.lpd,documents,GhostMeasured,NotApplicable
Asi-EastChina.Wang.1998.lpd,documents,GhostMeasured,NotApplicable
Asi-ENEPAB.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-ENEPAB.PAGES2k.2013.lpd,tree,TRW,NA
Asi-ESPERG.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-ESPERG.PAGES2k.2013.lpd,tree,TRW,NA
Asi-ESPPAK.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-ESPPAK.PAGES2k.2013.lpd,tree,TRW,NA
Asi-Fujian.Wang.1998.lpd,documents,GhostMeasured,NotApplicable
Asi-GANGCD.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-GANGCD.PAGES2k.2013.lpd,tree,TRW,NA
Asi-GHEGAN.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-GHEGAN.PAGES2k.2013.lpd,tree,TRW,NA
Asi-GOUQIN.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-GOUQIN.PAGES2k.2013.lpd,tree,TRW,NA
Asi-Guangdong.Zheng.1982.lpd,documents,GhostMeasured,NotApplicable
Asi-GuangdongAndGuangxi.Zhang.1980.lpd,documents,GhostMeasured,NotApplicable
Asi-Guliya.Thompson.1997.lpd,glacier ice,Reconstructed,cm/yr
Asi-HBHXJP.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HBHXJP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HBLXJP.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HBLXJP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HBMXJP.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HBMXJP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HEBQIN.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HEBQIN.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HRPCSM.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HRPCSM.PAGES2k.2013.lpd,tree,TRW,NA
Asi-Hunan-Jiangsu.Zhang.1980.lpd,documents,GhostMeasured,NotApplicable
