Author,Archives
Bruce P. Finney,"lake sediment(1),LakeSediment(1)"
Barbara Kutchko,lake sediment(1)
W. J. D'Andrea,lake sediment(2)
Y. Huang,"lake sediment(2),LakeSediment(1)"
S. C. Fritz,lake sediment(2)
N. J. Anderson,lake sediment(2)
W. Dansgaard,"glacier ice(2),GlacierIce(4)"
J. Moller,glacier ice(1)
C. C. Langway,"glacier ice(1),GlacierIce(1)"
B.M. Vinther,"glacier ice(3),GlacierIce(2)"
P.D. Jones,"glacier ice(3),GlacierIce(1)"
K.R. Briffa,"glacier ice(3),GlacierIce(1)"
H.B. Clausen,"glacier ice(3),GlacierIce(1)"
K.K. Andersen,"glacier ice(3),GlacierIce(1)"
S.J. Johnsen,"glacier ice(3),GlacierIce(3)"
W. S. B. Paterson,"glacier ice(1),GlacierIce(1)"
N. Reeh,"glacier ice(1),GlacierIce(1)"
D. Mccarroll,tree(2)
N. J. Loader,tree(1)
R. Jalkanen,tree(2)
M. H. Gagen,tree(1)
A. J. Kirchhefer,tree(1)
M. Friedrich,tree(2)
M. Lindholm,tree(1)
T. Boettger,tree(1)
S. O. Los,tree(1)
S. Remmele,tree(1)
Y. M. Kononov,tree(1)
Y. H. Yamazaki,tree(1)
G. H. Young,tree(1)
E. Zorita,tree(2)
M. Stuiver,glacier ice(1)
G. C. Wiles,tree(3)
R. D. Darrigo,tree(44)
D. Barclay,tree(1)
R. S. Wilson,tree(1)
S. K. Jarvis,tree(1)
L. Vargo,tree(1)
D. Frank,tree(3)
Nicholas P. Mckay,"lake sediment(1),LakeSediment(1)"
Darrell S. Kaufman,"lake sediment(1),LakeSediment(3)"
Neal Michelutti,lake sediment(1)
B.F. Clegg,"lake sediment(2),LakeSediment(1)"
R. Kelly,"lake sediment(2),LakeSediment(3)"
G.H. Clarke,lake sediment(2)
I.R. Walker,lake sediment(2)
Feng Sheng Hu,"lake sediment(3),LakeSediment(4)"
Darren J. Larsen,"lake sediment(1),LakeSediment(2)"
Gifford H. Miller,"lake sediment(1),LakeSediment(4)"
Áslaug Geirsdóttir,lake sediment(1)
Thorvaldur Thordarson,lake sediment(1)
Pall Bergthorsson,documents(1)
M.K. Hughes,tree(4)
R. Touchan,tree(1)
G. Funkhouser,tree(1)
E.A. Vaganov,tree(1)
S. Shiyatov,tree(1)
Peng Zhang,tree(1)
Jesper Björklund,tree(1)
Deliang Chen,tree(1)
D. A. Vaillencourt,lake sediment(1)
N. L. Balascio,lake sediment(1)
A. Werner,lake sediment(1)
S. R. Roof,lake sediment(1)
M. Retelle,lake sediment(1)
R. S. Bradley,lake sediment(1)
N.J. Loader,tree(1)
M.H. Gagen,tree(1)
H. Håkan Grudd,tree(1)
B.E. Gunnarson,tree(1)
A.J. Kirchhefer,tree(1)
H.W. Linderholm,tree(1)
Nicolas Rolland,"lake sediment(1),LakeSediment(1)"
Isabelle Larocque,"lake sediment(1),LakeSediment(1)"
Pierre Francus,lake sediment(2)
Reinhard Pienitz,"lake sediment(1),LakeSediment(2)"
Laurence Laperrière,lake sediment(1)
Scott F. Lamoureux,"lake sediment(1),LakeSediment(1)"
Raymond S. Bradley,"lake sediment(2),LakeSediment(4)"
J.J. Moore,lake sediment(1)
K.A. Hughen,lake sediment(2)
G.H. Miller,lake sediment(1)
J.T. Overpeck,"lake sediment(2),Coral(1)"
W. J. Dandrea,lake sediment(1)
T. P. Luoto,lake sediment(1)
K. Sarmaja-Korjonen,lake sediment(1)
L. Nevalainen,lake sediment(1)
T. Kauppila,lake sediment(1)
E Haltiahovi,lake sediment(1)
T Saarinen,lake sediment(1)
M Kukkonen,lake sediment(1)
Antti E.K. Ojala,lake sediment(1)
Teija Alenius,lake sediment(1)
Tomi P. Luoto,"lake sediment(1),LakeSediment(2)"
Samuli Helama,"lake sediment(1),tree(1),Wood(1)"
G. M. Macdonald,"tree(1),LakeSediment(1)"
R. A. Case,tree(1)
J. M. Szeicz,"tree(1),LakeSediment(1)"
Dmitry Divine,glacier ice(1)
Elisabeth Isaksson,glacier ice(3)
Tonu Martma,glacier ice(1)
Harro A.J. Meijer,glacier ice(1)
John Moore,glacier ice(1)
Veijo Pohjola,glacier ice(1)
Roderik S.W. Van De Wal,glacier ice(1)
Fred Godtliebsen,glacier ice(1)
Timothy L. Cook,lake sediment(1)
Joseph S. Stoner,lake sediment(1)
Trevor J. Porter,"tree(1),Ice-other(1),GroundIce(1)"
Michael F.J. Pisaric,tree(1)
Steven V. Kokelj,tree(1)
Peter Demontigny,tree(1)
Hui Jiang,marine sediment(1)
Jón Eiríksson,marine sediment(1)
Michael Schulz,marine sediment(1)
Karen-Luise Knudsen,marine sediment(1)
Marit-Solveig Seidenkrantz,"marine sediment(1),MarineSediment(1)"
Benjamin F. Clegg,"lake sediment(1),LakeSediment(1)"
Gina H. Clarke,"lake sediment(1),LakeSediment(1)"
Melissa L. Chipman,"lake sediment(1),LakeSediment(1)"
Michael Chou,"lake sediment(1),LakeSediment(1)"
Ian R. Walker,"lake sediment(1),LakeSediment(8)"
Willy Tinner,"lake sediment(1),LakeSediment(2)"
S. L. Buchardt,glacier ice(1)
I. K. Seierstad,glacier ice(1)
M.-L. Siggaard-Andersen,glacier ice(1)
A. Svensson,glacier ice(1)
J. Olsen,glacier ice(1)
J. Heinemeier,glacier ice(1)
H. Fischer,"glacier ice(3),GlacierIce(2)"
M. Werner,glacier ice(3)
D. Wagenbach,glacier ice(3)
M. Schwager,glacier ice(3)
T. Thorsteinnson,glacier ice(3)
J. Kipfstuhl,glacier ice(3)
S. Sommer,glacier ice(3)
Junichi Okuyama,glacier ice(1)
Hideki Narita,glacier ice(1)
Takeo Hondoh,"glacier ice(1),GlacierIce(1)"
Roy M. Koerner,"glacier ice(1),GlacierIce(1)"
Lea Schneider,tree(1)
Jason E. Smerdon,tree(1)
Ulf Büntgen,tree(20)
Rob J. S. Wilson,tree(2)
Vladimir S. Myglan,tree(1)
Alexander V. Kirdyanov,tree(2)
Jan Esper,tree(22)
Christophe Kinnard,glacier ice(2)
Christian M. Zdanowicz,glacier ice(2)
David A. Fisher,"glacier ice(2),GlacierIce(2)"
Anne De Vernal,"glacier ice(2),marine sediment(1),MarineSediment(15)"
Lonnie G. Thompson,glacier ice(3)
R.F. Anderson,lake sediment(1)
H.P. Sejrup,"marine sediment(1),MarineSediment(2)"
H. Haflidason,"marine sediment(1),MarineSediment(2)"
J.T. Andrews,"marine sediment(1),MarineSediment(1)"
T. M. Melvin,tree(1)
K. R. Briffa,tree(1)
K. S. Berner,"marine sediment(1),MarineSediment(1)"
N. Koç,marine sediment(1)
F. Godtliebsen,"marine sediment(1),MarineSediment(1)"
Keith R. Briffa,"tree(45),Wood(1)"
Thomas M. Melvin,tree(1)
Timothy J. Osborn,tree(18)
Rashit M. Hantemirov,tree(1)
Valeriy S. Mazepa,tree(1)
Stepan G. Shiyatov,tree(18)
Rosanne D'Arrigo,tree(8)
Rob Wilson,"tree(10),documents(2)"
Gordon Jacoby,tree(10)
Irina P. Panyushkina,tree(3)
Dmitriy V. Ovtchinnikov,tree(3)
Mikhail F. Adamenko,tree(3)
V. N. Magda,tree(6)
J. Block,tree(6)
O. Ch. Oidupaa,tree(6)
E. A. Vaganov,tree(6)
Dmitriy Ovtchinnikov,tree(1)
Mikhail Adamenko,tree(1)
Irina Panyushkina,tree(1)
Edward R. Cook,tree(136)
Kevin J. Anchukaitis,tree(134)
Brendan M. Buckley,tree(137)
Takeshi Nakatsuka,tree(133)
Masaki Sano,tree(134)
E. R. Cook,tree(47)
K. J. Anchukaitis,"tree(44),Wood(1)"
B. M. Buckley,tree(45)
G. C. Jacoby,tree(48)
W. E. Wright,tree(43)
S.W. Wang,documents(4)
J.L. Ye,documents(4)
D.Y Gong,documents(4)
L. G. Thompson,"glacier ice(3),GlacierIce(2)"
S. Wang,documents(1)
R. Wang,documents(1)
S.-Z. Zheng,documents(1)
D.E. Zhang,documents(1)
D. Zhang,documents(4)
K Yasue,tree(2)
R Funada,tree(2)
K Fukazawa,tree(2)
J Ohtani,tree(2)
I.P. Panyushkina,tree(1)
