Author,Archives
Ronald Kapp,LakeSediment(1)
Lauren J. Davies,"Ice-other(1),GroundIce(1)"
Sasiri Bandara,"Ice-other(1),GroundIce(1)"
Duane G. Froese,"Ice-other(1),GroundIce(1)"
Bryan N. Shuman,LakeSediment(6)
Jeremiah Marsicek,LakeSediment(6)
D. Fisher,GlacierIce(1)
P. Bucher,GlacierIce(1)
H. Oeschger,GlacierIce(1)
John H. Mcandrews,LakeSediment(1)
Brent B. Wolfe,LakeSediment(2)
Thomas W. D. Edwards,LakeSediment(1)
Ramon Aravena,LakeSediment(1)
Steven L. Forman,LakeSediment(1)
Barry G. Warner,LakeSediment(2)
Andrei A. Velichko,LakeSediment(1)
G. Dreyfus,GlacierIce(1)
G. Durand,GlacierIce(1)
S. Fujita,GlacierIce(1)
O. Gagliardini,GlacierIce(1)
F. Gillet,GlacierIce(1)
K. Kawamura,GlacierIce(1)
N. Lhomme,GlacierIce(1)
H. Shoji,GlacierIce(1)
R. Uemura,GlacierIce(1)
N. Yoshida,GlacierIce(1)
E.J. Nilssen,Peat(1)
Marjorie Green Winkler,LakeSediment(1)
A. Seiwald,Peat(1)
C. U. Hammer,GlacierIce(2)
S. F. Johnsen,GlacierIce(1)
P. M. Kristinsdottir,GlacierIce(1)
Andrew B.H. Rees,"LakeSediment(2),Peat(1)"
S. Payette,LakeSediment(5)
R. R̦Thlisberger,GlacierIce(2)
G. Hoffmann,GlacierIce(2)
Michael Wehrli,LakeSediment(1)
Andrew C.G. Henderson,LakeSediment(1)
Karlyn S. Westover,LakeSediment(1)
Sherilyn C. Fritz,LakeSediment(2)
Melanie J. Leng,LakeSediment(2)
Peter G. Langdon,LakeSediment(3)
Naomi Holmes,LakeSediment(3)
Chris J. Caseldine,LakeSediment(1)
Georg Schwamborn,"Ice-other(1),LakeSediment(2)"
Hanno Meyer,Ice-other(1)
Grigory Fedorov,Ice-other(1)
Lutz Schirrmeister,Ice-other(1)
Hans-W. Hubberten,Ice-other(1)
David W. Hastings,MarineSediment(1)
Heather W. Hill,MarineSediment(1)
A. E. Viau,LakeSediment(1)
M. R. Palmer,MarineSediment(1)
Anson W. Mackay,LakeSediment(1)
Elena V. Bezrukova,LakeSediment(1)
Miriam Meaney,LakeSediment(1)
Ana Nunes,LakeSediment(1)
Natalia Piotrowska,LakeSediment(1)
Angela Self,"LakeSediment(1),Peat(1)"
Alexander Shchetnikov,LakeSediment(1)
Ewan Shilland,LakeSediment(1)
Pavel Tarasov,LakeSediment(3)
Luo Wang,LakeSediment(1)
Dustin White,LakeSediment(1)
S. K. Praetorius,MarineSediment(2)
A. C. Mix,MarineSediment(3)
M. H. Walczak,MarineSediment(2)
M. D. Wolhowe,MarineSediment(2)
J. A. Addison,MarineSediment(2)
F. G. Prahl,MarineSediment(2)
Louise C. Foster,LakeSediment(2)
Emma J. Pearson,LakeSediment(2)
Steve Juggins,LakeSediment(2)
Dominic A. Hodgson,LakeSediment(2)
Krystyna M. Saunders,LakeSediment(1)
Elie Verleyen,LakeSediment(1)
Stephen J. Roberts,LakeSediment(2)
Emi Ito,LakeSediment(1)
Patricia M. Anderson,LakeSediment(1)
H. Linge,Speleothem(1)
S.-E. Lauritzen,Speleothem(1)
C. Andersson,Speleothem(1)
J. K. Hansen,Speleothem(1)
R.   . Skoglund,Speleothem(1)
L.E. Albert,LakeSediment(1)
D.G. Wyckoff,LakeSediment(1)
B.E. Berglund,LakeSediment(1)
D. Hammarlund,LakeSediment(2)
K. Antonsson,LakeSediment(1)
Laurent Lespez,Peat(1)
Martine Clet-Pellerin,"Peat(1),MarineSediment(1)"
Nicole Limondin-Lozouet,Peat(1)
Jean-Fran̤Ois Pastre,Peat(1)
Michel Fontugne,Peat(1)
Cyril Marcigny,Peat(1)
Sandra M. Rosenberg,LakeSediment(1)
Douglas J. Hallett,LakeSediment(1)
S.L. Webb,LakeSediment(2)
S. Samartin,LakeSediment(2)
O. Heiri,LakeSediment(2)
F. Joos,LakeSediment(2)
H. Renssen,LakeSediment(2)
J. Franke,LakeSediment(2)
S. Broennimann,LakeSediment(2)
W. Tinner,LakeSediment(2)
Riza Yuliratno Setiawan,MarineSediment(2)
John Southon,MarineSediment(2)
Jeroen Groeneveld,MarineSediment(4)
Stephan Steinke,MarineSediment(8)
Andreas L _Ckge,MarineSediment(5)
Ed C. Hathorne,MarineSediment(1)
Fern T. Gibbons,MarineSediment(1)
Jun Cheng,MarineSediment(1)
Zhengyu Liu,MarineSediment(1)
Ralph R Schneider,MarineSediment(1)
Peter J M _Ller,MarineSediment(1)
Holger Kuhlmann,MarineSediment(1)
Karl-Heinz Baumann,MarineSediment(1)
J _Rgen P _Tzold,MarineSediment(4)
S. Romahn,MarineSediment(1)
A. Mackensen,MarineSediment(1)
J. Groeneveld,MarineSediment(1)
J. P _Tzold,MarineSediment(2)
Georg J. Kirst,MarineSediment(1)
Isabel Von Storch,MarineSediment(1)
Martina Hollstein,MarineSediment(1)
Matthias Prange,MarineSediment(4)
Gema Mart _Nez M̩Ndez,MarineSediment(1)
Kazuyo Tachikawa,MarineSediment(1)
Paola Moffa Sanchez,MarineSediment(2)
R.R. Schneider,MarineSediment(1)
M. K̦Lling,MarineSediment(1)
Carsten R _Hlemann,MarineSediment(4)
S. Gerhardt,MarineSediment(1)
U. R̦Hl,MarineSediment(1)
Syee Weldeab,MarineSediment(4)
Martin K̦Lling,MarineSediment(1)
Mustafa O. Moammar,MarineSediment(1)
Stephan J. Lorenz,MarineSediment(2)
Seung-Il Nam,MarineSediment(2)
J. W. H. Weijers,MarineSediment(1)
E. Schefuss,MarineSediment(1)
J. S. S. Damste,"MarineSediment(1),LakeSediment(1)"
Enno Schefu,MarineSediment(2)
Barbara Donner,MarineSediment(1)
Thomas Laepple,MarineSediment(1)
Eddie Haam,MarineSediment(1)
Hedi Oberh _Nsli,MarineSediment(2)
C. Schwab,MarineSediment(1)
H. Kinkel,MarineSediment(1)
M. Weinelt,MarineSediment(1)
J. Repschl _Ger,MarineSediment(1)
Jesse R. Farmer,MarineSediment(1)
Thomas M. Cronin,MarineSediment(1)
Gary S. Dwyer,MarineSediment(1)
K. Milecka,LakeSediment(2)
K. Szeroczynska,LakeSediment(3)
I. Bortenschlager,Peat(1)
Simon J.A. Jung,MarineSediment(2)
Stephanie Heilig,MarineSediment(1)
Markus Kienast,MarineSediment(4)
Luejiang Wang,MarineSediment(2)
M. Kienast,MarineSediment(1)
Jan F. Schr̦Der,MarineSediment(1)
Ann Holbourn,MarineSediment(4)
Wolfgang Kuhnt,MarineSediment(4)
Kevin K _Ssner,MarineSediment(1)
M. Sarnthein,MarineSediment(2)
S. Kreveld,MarineSediment(1)
H. Erlenkeuser,MarineSediment(2)
U. Pflaumann,MarineSediment(1)
M. Schulz,MarineSediment(1)
Joan Villanueva,MarineSediment(1)
Shirley Van Kreveld,MarineSediment(2)
Michael Sarnthein,MarineSediment(4)
Karin Antonsson,LakeSediment(2)
Richard J. Telford,"LakeSediment(1),MarineSediment(1)"
Takuro Kobashi,GlacierIce(1)
Kenji Kawamura,GlacierIce(1)
G. Miotk,LakeSediment(1)
R. Scott Anderson,LakeSediment(2)
George L. Jacobson,LakeSediment(1)
Ronald B. Davis,LakeSediment(1)
Robert Stuckenrath,LakeSediment(1)
R. Krisai,LakeSediment(1)
W. Mayer,LakeSediment(1)
C. Schroeck,LakeSediment(1)
R. Tuerk,LakeSediment(1)
Janice L. Fuller,LakeSediment(2)
L. Visset,Peat(1)
Francinem.G. Mccarthy,LakeSediment(1)
Johnh. Mcandrews,LakeSediment(1)
N.S. Evans,LakeSediment(1)
Sigfus J. Johnsen,GlacierIce(1)
Willi Dansgaard,GlacierIce(1)
Niels Gundestrup,GlacierIce(1)
Judy R.M. Allen,LakeSediment(1)
Antony J. Long,LakeSediment(1)
Chris J. Ottley,LakeSediment(1)
D. Graham Pearson,LakeSediment(1)
Brian Huntley,LakeSediment(1)
Angela E Self,LakeSediment(2)
Vivienne J Jones,LakeSediment(2)
Steve J Brooks,LakeSediment(2)
Catherine R. Samson,MarineSediment(1)
Elisabeth L. Sikes,MarineSediment(1)
William R. Howard,MarineSediment(1)
K. Heeb,Peat(1)
Chris Caseldine,LakeSediment(2)
Yanhong Zheng,Peat(1)
Richard D. Pancost,Peat(1)
Xiaodong Liu,Peat(1)
Zhangzhang Wang,Peat(1)
B.D.A. Naafs,Peat(1)
Xiaoxun Xie,Peat(1)
Zhao Liu,Peat(1)
Xuefeng Yu,Peat(1)
́Slaug Geirsd _Ttir,LakeSediment(2)
S _D _S Lafsd _Ttir,LakeSediment(2)
S. Coutard,Peat(1)
M. Clet-Pellerin,Peat(1)
Joyce Brown Macpherson,LakeSediment(1)
Jie Chang,LakeSediment(2)
Enlou Zhang,LakeSediment(2)
Enfeng Liu,LakeSediment(1)
James Shulmeister,LakeSediment(2)
Canfa Wang,Speleothem(1)
James A. Bendle,Speleothem(1)
Hongbin Zhang,Speleothem(1)
Yi Yang,Speleothem(1)
Deng Liu,Speleothem(1)
Junhua Huang,Speleothem(1)
Jingwei Cui,Speleothem(1)
Aaron P. Potito,LakeSediment(2)
Seija Kultti,LakeSediment(1)
Liisa Nevalainen,LakeSediment(1)
Steffi Schmidt,LakeSediment(1)
Bernd Wagner,LakeSediment(2)
Martin Klug,LakeSediment(1)
Martin Melles,LakeSediment(2)
Johanna A. A. Bos,LakeSediment(1)
Holger Cremer,LakeSediment(3)
Andr̩ F. Lotter,LakeSediment(3)
Pamela Rossel,MarineSediment(1)
Philipp B̦Ning,MarineSediment(1)
Daniel J. Repeta,MarineSediment(1)
Maik Grunwald,MarineSediment(1)
Hans-J _Rgen Brumsack,"MarineSediment(1),LakeSediment(1)"
Maryse Henry,MarineSediment(5)
Sandrine Solignac,MarineSediment(7)
Michael Grelaud,MarineSediment(1)
Jacques Giraudeau,MarineSediment(2)
Matthias Moros,MarineSediment(4)
I. Nicholas Mccave,MarineSediment(1)
Babette Hoogakker,MarineSediment(1)
T. Giesecke,LakeSediment(3)
A.E. Bjune,LakeSediment(3)
R.C. Chiverrell,LakeSediment(3)
A.E.K. Ojala,LakeSediment(3)
Thomas Litt,LakeSediment(3)
Christian Sch̦Lzel,LakeSediment(2)
Norbert K _Hl,LakeSediment(2)
Achim Brauer,LakeSediment(3)
James Renwick,Peat(2)
Katharina Pahnke,"Peat(2),MarineSediment(2)"
D. R. Engstrom,LakeSediment(2)
B. C. S. Hansen,LakeSediment(2)
G. A. Jones,MarineSediment(1)
J. T. Andrews,MarineSediment(2)
L. Keigwin,MarineSediment(2)
F. Hall,MarineSediment(2)
Anne E. Jennings,MarineSediment(3)
C. Hillaire-Marcel,MarineSediment(1)
A. De Vernal,MarineSediment(2)
G. Bilodeau,MarineSediment(1)
G. Wu,MarineSediment(1)
Elisabeth Levac,MarineSediment(1)
Weston Blake Jr.,MarineSediment(1)
B. F. Clegg,LakeSediment(3)
G. H. Clarke,LakeSediment(3)
F. S. Hu,LakeSediment(3)
Ruilin Wen,LakeSediment(1)
Jule Xiao,LakeSediment(1)
Zhigang Chang,LakeSediment(1)
Dayou Zhai,LakeSediment(1)
Yuecong Li,LakeSediment(1)
Shigeru Itoh,LakeSediment(1)
J. M. Weninger,LakeSediment(2)
J. H. Mcandrews,LakeSediment(2)
Cheng Zhao,LakeSediment(1)
Eelco J. Rohling,LakeSediment(1)
Zicheng Yu,LakeSediment(1)
Yuxin He,LakeSediment(1)
Yan Zhao,"LakeSediment(1),Peat(1)"
Fahu Chen,"LakeSediment(2),Peat(1)"
Petra H  Jkov,LakeSediment(1)
Petr Pa  Il,LakeSediment(1)
Libor Petr,LakeSediment(1)
Barbora Chattov,LakeSediment(1)
Tom Matys Grygar,LakeSediment(1)
Charly Massa,LakeSediment(1)
Bianca B. Perren,LakeSediment(1)
Milie Gauthier,LakeSediment(1)
Vincent Bichet,LakeSediment(1)
Christophe Petit,LakeSediment(1)
Herv̩ Richard,LakeSediment(1)
Michael W. Kerwin,LakeSediment(1)
Svante Bj̦Rck,LakeSediment(2)
Kay-Christian Emeis,MarineSediment(3)
Ulrich Struck,MarineSediment(2)
Alexander Kohly,MarineSediment(2)
Maren Vo _,MarineSediment(2)
B.C. Alwin,LakeSediment(1)
H. Asplund,Peat(1)
I. Vuorela,Peat(2)
Alexander P. Wolfe,LakeSediment(2)
Peter E. Sauer,LakeSediment(1)
Atle Nesje,LakeSediment(3)
Richard C. A. Hindmarsh,GlacierIce(1)
Louise C. Sime,GlacierIce(1)
Olivier Alemany,GlacierIce(1)
Susan Foord,GlacierIce(1)
Shi-Yong Yu,Peat(1)
Morten Hald,MarineSediment(1)
Carin Andersson,MarineSediment(6)
Hanne Ebbesen,MarineSediment(1)
Dorthe Klitgaard-Kristensen,MarineSediment(1)
Bj  Rg Risebrobakken,MarineSediment(5)
Gaute R. Salomonsen,MarineSediment(1)
Hans Petter Sejrup,MarineSediment(1)
Sebastien Bertrand,MarineSediment(1)
Konrad Hughen,MarineSediment(1)
Evi Van Tornhout,MarineSediment(1)
Julia Smith Wellner,MarineSediment(1)
Susan Zabenskie,LakeSediment(1)
Marie-Claude Fortin,LakeSediment(2)
Jenny Roberts,MarineSediment(1)
Julia Gottschalk,MarineSediment(2)
Luke C. Skinner,MarineSediment(2)
Victoria L. Peck,MarineSediment(1)
Sev Kender,MarineSediment(1)
Henry Elderfield,MarineSediment(2)
Claire Waelbroeck,MarineSediment(4)
Natalia V  Zquez Riveiros,MarineSediment(1)
David A. Hodell,MarineSediment(1)
James A.P. Bendle,MarineSediment(1)
Antoni Rosell-Mel̩,MarineSediment(1)
Marie-Andr̩E Fallu,LakeSediment(1)
Martin Lavoie,LakeSediment(2)
T. Rankama,Peat(1)
Javier Mart _N-Chivelet,Speleothem(1)
M. Bel̩N Mu̱Oz-Garc _A,Speleothem(1)
Mar _A J. Turrero,Speleothem(1)
Constantin V. Kremenetski,Peat(1)
S.C. Porter,LakeSediment(1)
M.A. Sauchyn,LakeSediment(1)
P.L. Fall,LakeSediment(2)
V. J. Jones,LakeSediment(1)
N. Solovieva,LakeSediment(3)
A. E. Self,LakeSediment(1)
S. Mcgowan,LakeSediment(1)
P. Ros̩N,LakeSediment(1)
J. S. Salonen,LakeSediment(4)
M. V _Liranta,LakeSediment(4)
E. Parrott,LakeSediment(1)
S. J. Brooks,LakeSediment(1)
L. S. Syrykh,LakeSediment(2)
L. B. Nazarova,LakeSediment(2)
U. Herzschuh,LakeSediment(2)
D. A. Subetto,LakeSediment(2)
I. M. Grekov,LakeSediment(2)
Jonathan L. Baker,Speleothem(1)
Matthew S. Lachniet,Speleothem(2)
Olga Chervyatsova,Speleothem(1)
Yemane Asmerom,Speleothem(3)
Victor J. Polyak,Speleothem(2)
Anders E. Carlson,MarineSediment(1)
Allegra N. Legrande,MarineSediment(1)
A. Antonarakou,MarineSediment(1)
G. Kontakiotis,MarineSediment(1)
H. Drinia,MarineSediment(1)
M. Sprovieri,MarineSediment(1)
E. Besiou,MarineSediment(1)
E. Tripsanas,MarineSediment(1)
A.C. Elmore,MarineSediment(1)
J.D. Wright,MarineSediment(1)
J. Southon,MarineSediment(1)
Matthew W. Schmidt,MarineSediment(5)
Jean Lynch Stieglitz,MarineSediment(1)
William A. Weinlein,MarineSediment(1)
Franco Marcantonio,MarineSediment(2)
Jean Lynch-Stieglitz,MarineSediment(2)
Samantha C. Bova,MarineSediment(2)
Timothy Herbert,MarineSediment(3)
Julie Kalansky,MarineSediment(2)
Mark Altabet,MarineSediment(2)
Caitlin Chazen,MarineSediment(2)
Angel Mojarro,MarineSediment(2)
Jana Zech,MarineSediment(2)
P Ciais,GlacierIce(1)
J R Petit,GlacierIce(1)
J Jouzel,GlacierIce(1)
C Lorius,GlacierIce(1)
N I Barkov,GlacierIce(1)
V Lipenkov,GlacierIce(1)
V Nicola  Ev,GlacierIce(1)
Ulrike Herzschuh,LakeSediment(3)
Annette Kramer,LakeSediment(1)
Steffen Mischke,LakeSediment(3)
Chengjun Zhang,LakeSediment(2)
Matthew C. Peros,LakeSediment(1)
Hodaka Kawahata,MarineSediment(4)
Hisashi Yamamoto,MarineSediment(1)
Ken'Ichi Ohkushi,MarineSediment(1)
Yusuke Yokoyama,MarineSediment(2)
Katsunori Kimoto,MarineSediment(2)
Hideki Ohshima,MarineSediment(1)
Brandon R Boldt,LakeSediment(1)
Darrell S Kaufman,LakeSediment(1)
Nicholas P Mckay,LakeSediment(1)
Jason P Briner,LakeSediment(1)
Krish Chakraborty,LakeSediment(1)
Sarah A. Finkelstein,LakeSediment(2)
Joseph R. Desloges,LakeSediment(1)
Nicole A. Chow,LakeSediment(1)
Yoshimi Kubota,MarineSediment(1)
Ryuji Tada,MarineSediment(1)
Hirokuni Oda,MarineSediment(1)
B.K. Biskaborn,LakeSediment(1)
D.A. Subetto,LakeSediment(1)
L.A. Savelieva,LakeSediment(1)
P.S. Vakhrameeva,LakeSediment(1)
A. Hansche,LakeSediment(1)
J. Klemm,LakeSediment(1)
L. Heinecke,LakeSediment(1)
L.A. Pestryakova,LakeSediment(1)
G. Kuhn,LakeSediment(1)
B. Diekmann,LakeSediment(1)
William Hardy,MarineSediment(1)
Fabienne Marret,MarineSediment(1)
Aur̩Lie Penaud,MarineSediment(5)
Priscilla Le M̩Zo,MarineSediment(1)
Laurence Droz,MarineSediment(1)
Tania Marsset,MarineSediment(1)
Masa Kageyama,MarineSediment(1)
Lisa Bajolle,LakeSediment(1)
Emmanuel Gandouin,LakeSediment(1)
Yves Bergeron,LakeSediment(1)
Adam A. Ali,LakeSediment(1)
Sonja Hausmann,LakeSediment(1)
Pierre J.H. Richard,LakeSediment(1)
Falko Fye,LakeSediment(1)
Claude Labelle,LakeSediment(1)
G. Samson,LakeSediment(1)
Linda C.K. Shane,LakeSediment(1)
Katherine H. Anderson,LakeSediment(1)
Judy R. M. Allen,LakeSediment(1)
B Huntley,LakeSediment(1)
W. A. Watts,LakeSediment(1)
Walter Finsinger,LakeSediment(1)
Daniele Colombaroli,LakeSediment(1)
Jacques-Louis De Beaulieu,LakeSediment(1)
Verushka Valsecchi,LakeSediment(1)
Boris Vanni̬Re,LakeSediment(1)
Elisa Vescovi,LakeSediment(1)
Emmanuel Chapron,LakeSediment(1)
Michel Magny,LakeSediment(1)
Robert S Webb,LakeSediment(1)
Katherine H Anderson,LakeSediment(1)
Lysanna Anderson,LakeSediment(1)
Surangi W. Punyasena,LakeSediment(1)
Francis E. Mayle,LakeSediment(1)
Jennifer C. Mcelwain,LakeSediment(1)
Maija Heikkil _,LakeSediment(1)
Andrei A. Andreev,LakeSediment(3)
Wolf-Dieter Hermichen,LakeSediment(2)
Frank Wischer,LakeSediment(2)
Hans-Wolfgang Hubberten,LakeSediment(4)
Samantha Palmer,LakeSediment(2)
Ian Walker,LakeSediment(2)
Markus Heinrichs,LakeSediment(3)
Richard Hebda,LakeSediment(2)
Geoffrey Scudder,LakeSediment(2)
J. Lemmen,LakeSediment(1)
T. Lacourse,LakeSediment(1)
M.A.G. Pivel,MarineSediment(1)
A.C.A. Santarosa,MarineSediment(1)
F.A.L. Toledo,MarineSediment(1)
K.B. Costa,MarineSediment(1)
Maxim G. Ogurtsov,Wood(1)
Kari Mielik _Inen,Wood(1)
Matti Eronen,Wood(1)
Markus Lindholm,Wood(1)
Jouko Meril _Inen,Wood(1)
Vin I. Morgan,GlacierIce(1)
M. Makohonienko,LakeSediment(2)
T. Litt,LakeSediment(1)
K. Tobolski,LakeSediment(1)
D. Barbier,Peat(1)
J. Clerc,Peat(1)
Rhawn F. Denniston,Speleothem(1)
A. Klimaschewski,LakeSediment(5)
A.E. Self,LakeSediment(2)
V.J. Jones,LakeSediment(2)
E. Andr̩N,LakeSediment(2)
A.A. Andreev,LakeSediment(2)
D. Hammarlund.,LakeSediment(1)
E.V. Lepskaya,LakeSediment(1)
L. Nazarova,LakeSediment(1)
T. Koff,Peat(1)
Cyrille Billard,MarineSediment(1)
Jean-Pierre Lautridou,MarineSediment(1)
Mich̬Le Giffault,MarineSediment(1)
Marc A. Worona,LakeSediment(1)
Cathy Whitlock,LakeSediment(1)
Patricia Swain,LakeSediment(1)
B.J. Madsen,Peat(1)
M. Heikkil _,LakeSediment(3)
L. Amon,LakeSediment(3)
K. Helmens,LakeSediment(3)
P. Kuhry,LakeSediment(3)
S. Kultti,LakeSediment(3)
A. Poska,LakeSediment(3)
S. Shala,LakeSediment(3)
N. Ko̤,MarineSediment(1)
M. Moros,MarineSediment(1)
B. Ammann,LakeSediment(1)
Catherine Dalton,LakeSediment(1)
Nigel G. Cameron,LakeSediment(1)
Richard P. Evershed,LakeSediment(1)
Julie A. Scott,LakeSediment(1)
Roy Thompson,LakeSediment(1)
Yarrow Axford,LakeSediment(3)
Daniel E. Schindler,LakeSediment(1)
Al Werner,LakeSediment(2)
Karen J. Taylor,LakeSediment(1)
Seamus Mcginley,LakeSediment(1)
Karen Molloy,LakeSediment(1)
David W. Beilman,LakeSediment(1)
E.V. Kvavadze,Peat(1)
Yu.V. Efremov,Peat(1)
G.V. Bukreeva,Peat(1)
V.V. Akatov,Peat(1)
Jan-Rainer Riethdorf,MarineSediment(1)
Lars Max,MarineSediment(1)
Dirk N _Rnberg,MarineSediment(3)
Lester Lembke-Jene,MarineSediment(1)
Renato Salvatteci,MarineSediment(5)
Elfi Molliera€Vogel,MarineSediment(5)
Fr̩D̩Rique Eynaud,MarineSediment(5)
L̼Cia De Abreu,MarineSediment(3)
Antje Voelker,MarineSediment(3)
Joachim Sch̦Nfeld,MarineSediment(3)
Emilia Salgueiro,MarineSediment(3)
Jean-Louis Turon,MarineSediment(5)
Samuel Toucanne,MarineSediment(4)
Filipa Naughton,MarineSediment(4)
Mar _A Fernanda S  Nchez Go̱I,MarineSediment(3)
Bruno Malaiz̩,MarineSediment(4)
Alastair G. Dawson,MarineSediment(1)
Yiming V. Wang,MarineSediment(1)
Marcus Regenberg,MarineSediment(1)
Nils Andersen,MarineSediment(3)
Thomas Larsen,MarineSediment(1)
Dirk Nuernberg,MarineSediment(1)
Tebke B̦Schen,MarineSediment(1)
Kristin Doering,MarineSediment(1)
Elfi Mollier-Vogel,MarineSediment(1)
Jacek Raddatz,MarineSediment(1)
Martijn Woltering,LakeSediment(1)
Pia Atahan,LakeSediment(1)
Kliti Grice,LakeSediment(2)
Henk Heijnis,LakeSediment(1)
Kathryn Taffs,LakeSediment(1)
T. C. Johnson,LakeSediment(1)
J. P. Werne,LakeSediment(1)
E. T. Brown,LakeSediment(1)
A. Abbott,LakeSediment(1)
M. Berke,LakeSediment(1)
B. A. Steinman,LakeSediment(1)
J. Halbur,LakeSediment(1)
S. Contreras,LakeSediment(1)
S. Grosshuesch,LakeSediment(1)
A. Deino,LakeSediment(1)
C. A. Scholz,LakeSediment(1)
R. P. Lyons,LakeSediment(1)
S. Tonkov,Peat(1)
E.D.B. Bozilova,Peat(1)
H. Dinel,LakeSediment(1)
P. J. H. Richard,LakeSediment(1)
P. E. M. Lev̩Sque,LakeSediment(1)
A. Larouche,LakeSediment(1)
H. Gebhardt,MarineSediment(1)
T. Kiefer,MarineSediment(1)
M. Cook,MarineSediment(1)
J. O. Grimalt,MarineSediment(1)
N. J. Shackleton,MarineSediment(1)
L. De Abreu,MarineSediment(2)
M. A. Hutterli,MarineSediment(1)
E. Salgueiro,MarineSediment(1)
F. Naughton,MarineSediment(1)
A.H.L. Voelker,MarineSediment(1)
A. Alberto,MarineSediment(1)
L. Rossignol,MarineSediment(1)
J. Duprat,MarineSediment(2)
V.H. MagalḥEs,MarineSediment(1)
S. Vaqueiro,MarineSediment(1)
J.-L. Turon,MarineSediment(1)
Jian Xu,MarineSediment(1)
Zhimin Jian,MarineSediment(4)
Hiroshi Kawamura,MarineSediment(1)
Li-Chuan Lin,MarineSediment(1)
Min-Te Chen,MarineSediment(2)
Rebecca Rendle-B _Hring,MarineSediment(1)
Tatsuhiko Sakamoto,MarineSediment(1)
Minoru Ikehara,MarineSediment(1)
Dai Isono,MarineSediment(1)
Masanobu Yamamoto,MarineSediment(2)
Tomohisa Irino,MarineSediment(1)
Tadamichi Oba,MarineSediment(2)
Toshio Nakamura,MarineSediment(1)
T.M. Hill,MarineSediment(1)
J.P. Kennett,MarineSediment(1)
D.K. Pak,MarineSediment(1)
R.J. Behl,MarineSediment(1)
C. Robert,MarineSediment(1)
L. Beaufort,MarineSediment(1)
Erin L. Mcclymont,MarineSediment(1)
Raja S. Ganeshram,MarineSediment(1)
Laetitia E. Pichevin,MarineSediment(1)
Helen M. Talbot,MarineSediment(1)
Bart E. Van Dongen,MarineSediment(1)
Alan M. Haywood,MarineSediment(1)
Joy S. Singarayer,MarineSediment(1)
Paul J. Valdes,MarineSediment(1)
Martin Ziegler,MarineSediment(1)
Cyrus Karas,MarineSediment(1)
Lucas J. Lourens,MarineSediment(1)
Kelsey A. Dyez,MarineSediment(1)
Xavier Crosta,MarineSediment(2)
Veronica Willmott,MarineSediment(1)
Hans Renssen,MarineSediment(1)
J̩R̫Me Bonnin,MarineSediment(1)
Peer Helmke,MarineSediment(1)
X. Crosta,"MarineSediment(1),GlacierIce(1)"
M. Debret,MarineSediment(1)
D. Denis,MarineSediment(1)
M. A. Courty,MarineSediment(1)
O. Ther,MarineSediment(1)
Raquel A. Lopes Dos Santos,MarineSediment(2)
Michelle I. Spooner,MarineSediment(2)
Timothy T. Barrows,MarineSediment(2)
Patrick De Deckker,MarineSediment(3)
Graham A. Logan,MarineSediment(1)
Teresa Rodrigues,MarineSediment(1)
F  Tima Abrantes,MarineSediment(1)
Jos̩-Abel Flores,MarineSediment(1)
Timoth̩ Bolliet,MarineSediment(2)
Carlo Laj,MarineSediment(1)
Catherine Kissel,MarineSediment(1)
Luc Beaufort,MarineSediment(2)
Dieter Garbe-Sch̦Nberg,MarineSediment(1)
Nicholas Fraser,MarineSediment(1)
Vincent Montade,MarineSediment(2)
Odile Peyron,MarineSediment(3)
Charly Favier,"MarineSediment(2),Peat(1)"
Jean Pierre Francois,MarineSediment(2)
Simon G. Haberle,MarineSediment(2)
Camille Levi,MarineSediment(2)
Fran̤Ois Guichard,MarineSediment(2)
Josette Duprat,MarineSediment(4)
Thibault De Garidel-Thoron,MarineSediment(2)
Edouard Bard,MarineSediment(2)
Frauke Rostek,MarineSediment(1)
Corinne Sonzogni,MarineSediment(1)
Monique Labracherie,MarineSediment(1)
Laurent D. Labeyrie,MarineSediment(1)
Maurice Arnold,MarineSediment(1)
Jean-Jacques Pichon,MarineSediment(1)
Kyaw Winn,MarineSediment(1)
Michael R. Fontugne,MarineSediment(1)
M Sicre,MarineSediment(1)
L Labeyrie,MarineSediment(1)
U Ezat,MarineSediment(1)
J Duprat,MarineSediment(1)
J Turon,MarineSediment(1)
S Schmidt,MarineSediment(1)
E Michel,MarineSediment(1)
A Mazaud,MarineSediment(1)
S̩Bastien Zaragosi,MarineSediment(2)
James Scourse,MarineSediment(1)
Claude Pujol,MarineSediment(1)
Francis E. Grousset,MarineSediment(1)
G̩Rard Auffret,MarineSediment(1)
Eirik Mjelde,MarineSediment(2)
Kjersti Hevr  Y,MarineSediment(2)
Olivier Marchal,MarineSediment(1)
Thomas F. Stocker,MarineSediment(1)
Nicholas Shackleton,MarineSediment(1)
Maryline Vautravers,MarineSediment(1)
Nalan Ko̤,MarineSediment(2)
Mark Chapman,MarineSediment(1)
Laura Sbaffi,MarineSediment(1)
Joan O Grimalt,MarineSediment(1)
Francisco J. Sierro,MarineSediment(1)
Jos̩ Abel Flores,MarineSediment(1)
Nick Shackleton,MarineSediment(1)
Tomoya Shintani,MarineSediment(1)
H. Sai,MarineSediment(1)
M.-T. Chen,MarineSediment(1)
M. Zhao,MarineSediment(2)
