coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[119.2, -3.53, -503]",PAGES2kv2,Ocn-MakassarStrait.Oppo.2009.lpd,Delia W. Oppo,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[119.2, -3.53, -503]",PAGES2kv2,Ocn-MakassarStrait.Oppo.2009.lpd,Yair Rosenthal,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[119.2, -3.53, -503]",PAGES2kv2,Ocn-MakassarStrait.Oppo.2009.lpd,Braddock K. Linsley,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[7.63, 66.97, -1048]",PAGES2kv2,Ocn-MD95-2011.Grimalt.2002.lpd,Eva Calvo,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[7.63, 66.97, -1048]",PAGES2kv2,Ocn-MD95-2011.Grimalt.2002.lpd,Joan Grimalt,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[7.63, 66.97, -1048]",PAGES2kv2,Ocn-MD95-2011.Grimalt.2002.lpd,Eystein Jansen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[117.4867, -5.2012, -1185]",PAGES2kv2,Ocn-MD98-2160.Newton.2010.lpd,A. Newton,marine sediment,inferred,Makassar Strait WEq Pacific marine sediment Mg/Ca SST,NA,Sea Surface,Temperature,degC,1
"[117.4867, -5.2012, -1185]",PAGES2kv2,Ocn-MD98-2160.Newton.2010.lpd,R. Thunell,marine sediment,inferred,Makassar Strait WEq Pacific marine sediment Mg/Ca SST,NA,Sea Surface,Temperature,degC,1
"[117.4867, -5.2012, -1185]",PAGES2kv2,Ocn-MD98-2160.Newton.2010.lpd,L. Stott,marine sediment,inferred,Makassar Strait WEq Pacific marine sediment Mg/Ca SST,NA,Sea Surface,Temperature,degC,1
"[119.078, 1.4033, -968]",PAGES2kv2,Ocn-MD98-2177.Newton.2010.lpd,A. Newton,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[119.078, 1.4033, -968]",PAGES2kv2,Ocn-MD98-2177.Newton.2010.lpd,R. Thunell,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[119.078, 1.4033, -968]",PAGES2kv2,Ocn-MD98-2177.Newton.2010.lpd,L. Stott,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Ana Moreno,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Ana Pérez,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Jaime Frigola,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Vanesa Nieto-Moreno,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Marta Rodrigo-Gámiz,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Belén Martrat,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Penélope González-Sampériz,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Mario Morellón,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Celia Martín-Puertas,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Juan Pablo Corella,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Ánchel Belmonte,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Carlos Sancho,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Isabel Cacho,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Gemma Herrera,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Miquel Canals,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Joan O. Grimalt,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Francisco Jiménez-Espejo,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Francisca Martínez-Ruiz,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Teresa Vegas-Vilarrúbia,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,Blas L. Valero-Garcés,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,M.-A. Sicre,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,I. R. Hall,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,J. Mignot,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,M. Khodri,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,U. Ezat,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,M.-X. Truong,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,J. Eiríksson,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,K.-L. Knudsen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[152.53, 46.32, -2793]",PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,Naomi Harada,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[152.53, 46.32, -2793]",PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,Naokazu Ahagon,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[152.53, 46.32, -2793]",PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,Masao Uchida,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[152.53, 46.32, -2793]",PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,Masafumi Murayama,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-24.085, 61.43, -1648]",PAGES2kv2,Ocn-ODP984.Came.2007.lpd,Rosemarie E. Came,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-24.085, 61.43, -1648]",PAGES2kv2,Ocn-ODP984.Came.2007.lpd,Delia W. Oppo,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-24.085, 61.43, -1648]",PAGES2kv2,Ocn-ODP984.Came.2007.lpd,Jerry F. Mcmanus,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,Weichao Wu,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,Wenbing Tan,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,Liping Zhou,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,Huan Yang,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,Yunping Xu,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[125.82, 6.3, -2114]",PAGES2kv2,Ocn-Philippines.Stott.2007.lpd,L. Stott,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[125.82, 6.3, -2114]",PAGES2kv2,Ocn-Philippines.Stott.2007.lpd,A. Timmermann,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[125.82, 6.3, -2114]",PAGES2kv2,Ocn-Philippines.Stott.2007.lpd,R. Thunell,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,H.V. Mcgregor,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,M. N. Evans,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,H. Goosse,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,G. Leduc,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,B. Martrat,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,J.A. Addison,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,P.G. Mortyn,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,D.W. Oppo,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,M.S. Seidenkrantz,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,M.A. Sicre,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,S.J. Phipps,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,K. Selvaraj,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,K. Thirumalai,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,H.L. Filipsson,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,V. Ersek,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.82, 62.08, -1938]",PAGES2kv2,Ocn-RAPiD-12-1K.Thornalley.2009.lpd,David J. R. Thornalley,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.82, 62.08, -1938]",PAGES2kv2,Ocn-RAPiD-12-1K.Thornalley.2009.lpd,Harry Elderfield,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.82, 62.08, -1938]",PAGES2kv2,Ocn-RAPiD-12-1K.Thornalley.2009.lpd,I. Nick Mccave,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-120.02, 34.23, -590]",PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,Meixun Zhao,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-120.02, 34.23, -590]",PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,Geoffrey Eglinton,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-120.02, 34.23, -590]",PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,Gareth Read,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-120.02, 34.23, -590]",PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,Arndt Schimmelmann,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,Guillaume Leduc,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
