coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,Caren T. Herbert,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,Thomas Blanz,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,Philippe Martinez,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,Ralph Schneider,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[109.869, 8.73, -1598]",PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,Meixun Zhao,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[109.869, 8.73, -1598]",PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,Chi-Yue Huang,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[109.869, 8.73, -1598]",PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,Chia-Chun Wang,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[109.869, 8.73, -1598]",PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,Ganjian Wei,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.16, -44.15, -1169]",PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,Mahyar Mohtadi,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.16, -44.15, -1169]",PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,Oscar E. Romero,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.16, -44.15, -1169]",PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,Jérôme Kaiser,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.16, -44.15, -1169]",PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,Dierk Hebbeln,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,M.-A. Sicre,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,I. R. Hall,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,J. Mignot,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,M. Khodri,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,U. Ezat,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,M.-X. Truong,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,J. Eiríksson,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,K.-L. Knudsen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-18.5833, 20.75, -2263]",PAGES2kv2,Ocn-SubTropicalEasternNorthAtlantic.deMenocal.2000.lpd,P. Demenocal,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,Rajeev Saraswat,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,David W. Lea,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,Rajiv Nigam,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
