dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R3KKLxIn4mR,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,g,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RFu4R6d0Z2N,measured,CaCO3,CaCO3,NA,NA,CaCO3,2,percent,NA,NA,NA,NA
MD03-2601.Kim.2012.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTTY1FRFXV,measured,tex86l,NA,NA,TEX86,TEX86,1,unitless,NA,NA,NA,NA
MD06_3067.Bolliet.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RaVVn9kSuFx,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,NA,NA
MD06_3067.Bolliet.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RFT96c8LLtL,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
MD06_3067.Bolliet.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R89VJHY12Yf,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
MD06_3067.Bolliet.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RJS1jFCVr5O,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
MD06_3067.Bolliet.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,Re5WiuBBnzl,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
MD97_2120.Pahnke.2006.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RCiWU9PCeTP,measured,Uk37,Uk37,NA,NA,Uk37,2,NA,NA,NA,NA,NA
MD98_2188.Dang.2012.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R0spRkatdK2,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
MD98_2188.Dang.2012.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R8adJ7ffCNZ,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
MiddenCluster1.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB132596a41,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster1.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBd98cf2501,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster1.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBe2583d1f1,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster2.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB17b6eb432,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster2.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBfa1a1dfc2,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
