dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
Asi-Guliya.Thompson.1997.lpd,PAGES2kv2,glacier ice,GlacierIce,Asia_251,measured,nitrate,Nitrate,NA,nitrate,nitrate,1,ppb,NA,NA,NA,NA
Asi-HBHXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_060,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HBLXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_058,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HBMXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_059,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HEBQIN.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_045,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HRPCSM.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_215,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-Hushre.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_165,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HXBURU.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_074,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-HYGJUP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_077,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-INDI015.Borgaonkar.2013.lpd,PAGES2kv2,tree,Wood,Asia_104,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-INDI024.Borgaonkar.2013.lpd,PAGES2kv2,tree,Wood,Asia_107,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-INDI025.Borgaonkar.2013.lpd,PAGES2kv2,tree,Wood,Asia_105,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-INDO005.DArrigo.2010.lpd,PAGES2kv2,tree,Wood,Asia_101,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA012.Yasue.1997.lpd,PAGES2kv2,tree,Wood,Asia_116,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA013.Yasue.1997.lpd,PAGES2kv2,tree,Wood,Asia_112,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA014.Yasue.2013.lpd,PAGES2kv2,tree,Wood,Asia_115,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA015.Yasue.2013.lpd,PAGES2kv2,tree,Wood,Asia_113,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA016.Yasue.2013.lpd,PAGES2kv2,tree,Wood,Asia_114,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA017.Yasue.2013.lpd,PAGES2kv2,tree,Wood,Asia_118,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA019.Sano.2013.lpd,PAGES2kv2,tree,Wood,Asia_120,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-JAPA020.Kimura.2013.lpd,PAGES2kv2,tree,Wood,Asia_111,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KAZ001.Solomina.2010.lpd,PAGES2kv2,tree,Wood,Asia_134,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KERALA.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_106,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KunashirIsland.Demezhko.2009.lpd,PAGES2kv2,hybrid,Hybrid,Asia_233,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,NA,NA
Asi-KYRG002.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_121,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG003.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_122,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG004.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_123,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG005.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_124,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG007.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_125,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG008.Shiyatov.2013.lpd,PAGES2kv2,tree,Wood,Asia_126,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG009.Shiyatov.2013.lpd,PAGES2kv2,tree,Wood,Asia_127,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG010.Shiyatov.2013.lpd,PAGES2kv2,tree,Wood,Asia_128,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG011.Shiyatov.2013.lpd,PAGES2kv2,tree,Wood,Asia_129,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG012.Solomina.2013.lpd,PAGES2kv2,tree,Wood,Asia_135,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG013.Solomina.2013.lpd,PAGES2kv2,tree,Wood,Asia_136,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG014.Solomina.2013.lpd,PAGES2kv2,tree,Wood,Asia_137,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-KYRG015.Solomina.2013.lpd,PAGES2kv2,tree,Wood,Asia_138,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-LAJQIN.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_046,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MCCHFH.Sano.2008.lpd,PAGES2kv2,tree,Wood,Asia_228,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG002.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_152,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG004.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_166,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG006.Jacoby.2006.lpd,PAGES2kv2,tree,Wood,Asia_162,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG007.Schweingruber.2013.lpd,PAGES2kv2,tree,Wood,Asia_159,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG009.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_147,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG010.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_157,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG011.Jacoby.2006.lpd,PAGES2kv2,tree,Wood,Asia_163,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG012.Jacoby.2006.lpd,PAGES2kv2,tree,Wood,Asia_160,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG014.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_158,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG015.Jacoby.2013.lpd,PAGES2kv2,tree,Wood,Asia_148,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG016.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_139,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG017.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_141,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG018.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_142,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG019.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_143,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG020.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_144,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG021.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_145,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG024.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_149,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG025.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_150,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG026.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_151,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG027.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_140,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG028.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_153,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG029.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_154,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG030.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_156,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG031.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_161,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG032.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_164,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MONG033.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_146,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQACJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_078,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQAXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_051,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQBXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_052,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQDXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_053,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQFXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_054,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MQRXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_055,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MTASMD.Davi.2013.lpd,PAGES2kv2,tree,Wood,Asia_109,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-MTASSP.Davi.2013.lpd,PAGES2kv2,tree,Wood,Asia_108,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA003.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_167,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA010.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_168,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA014.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_169,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA015.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_170,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA018.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_171,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA019.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_172,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA021.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_179,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA025.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_173,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA027.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_180,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA029.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_174,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA030.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_175,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA032.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_176,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA036.Krusic.2013.lpd,PAGES2kv2,tree,Wood,Asia_177,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NEPA042.Krusic.2010.lpd,PAGES2kv2,tree,Wood,Asia_181,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-NOGSAK.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_216,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI001.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_186,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI002.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_187,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI003.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_188,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI004.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_189,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI006.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_195,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI007.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_196,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI009.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_202,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI010.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_203,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI011.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_204,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI012.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_205,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI014.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_210,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI015.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_211,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI016.Esper.2007.lpd,PAGES2kv2,tree,Wood,Asia_212,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI017.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_184,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI018.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_185,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI020.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_190,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI021.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_191,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI022.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_192,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI023.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_193,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI024.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_194,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI025.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_197,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI027.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_198,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI028.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_199,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI029.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_200,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI030.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_201,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI031.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_206,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI033.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_207,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI035.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_208,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI036.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_209,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI039.Cook.2013.lpd,PAGES2kv2,tree,Wood,Asia_213,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PAKI040.Cook.2011.lpd,PAGES2kv2,tree,Wood,Asia_214,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-PTCYUN.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_072,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-Puruogangri.Thompson.2006.lpd,PAGES2kv2,glacier ice,GlacierIce,Asia_305,measured,d18O,d18O,NA,d18O,d18O,1,permil,NA,NA,T,air@condensationLevel
Asi-QUMAJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_067,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-RANGCD.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_103,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-RUSS219.Jacoby.2010.lpd,PAGES2kv2,tree,Wood,Asia_110,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-RUSS236.Sano.2009.lpd,PAGES2kv2,tree,Wood,Asia_133,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-SANGTS.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_063,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-SHIESP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_132,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-SHIYAT.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_130,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-SihailongwaLake.Chu.2011.lpd,PAGES2kv2,lake sediment,LakeSediment,LPD2c9bc1f8,measured,core,Core,NA,NA,Core,2,NA,NA,NA,NA,NA
Asi-SihailongwaLake.Chu.2011.lpd,PAGES2kv2,lake sediment,LakeSediment,LPDbbd279ed,measured,sampleID,NA,NA,NA,sampleID,3,NA,NA,NA,NA,NA
Asi-SO90-39KGSO130-275KL.Munz.2015.lpd,PAGES2kv2,marine sediment,MarineSediment,Asia_331,measured,depth_top,depth top,NA,NA,depth top,2,mm,NA,NA,NA,NA
Asi-SO90-39KGSO130-275KL.Munz.2015.lpd,PAGES2kv2,marine sediment,MarineSediment,Asia_332,measured,depth_bottom,depth bottom,NA,NA,depth bottom,2,mm,NA,NA,NA,NA
Asi-SODAPS.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_155,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-TDAXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_056,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-TDBXJP.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_057,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-TH001.Buckley.2010.lpd,PAGES2kv2,tree,Wood,Asia_226,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-TIANMU.PAGES2k.2013.lpd,PAGES2kv2,tree,Wood,Asia_065,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-TW001.Wright.2010.lpd,PAGES2kv2,tree,Wood,Asia_227,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHEWD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_021,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHEWW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_019,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHLWD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_022,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHLWW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_020,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHMND.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_023,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHMXD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_024,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UKHTRW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_018,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULEWD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_014,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULEWW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_012,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULLWD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_015,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULLWW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_013,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULMND.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_016,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULMXD.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_017,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
Asi-UULTRW.Schweingruber.2002.lpd,PAGES2kv2,tree,Wood,Asia_011,measured,trsgi,Trsgi,NA,trsgi,Trsgi,1,NA,NA,NA,T,air@surface
